season,week,team,SIC,drop
2023,1,BUF,87.1,0
2023,1,MIA,81.4,0
2023,1,NE,84.5,0
2023,1,NYJ,81.8,0
2023,1,BAL,84.5,0
2023,1,CIN,88.6,0
2023,1,CLE,84.1,0
2023,1,PIT,93.2,0
2023,1,HOU,82.8,0
2023,1,IND,79,0
2023,1,JAX,85.7,0
2023,1,TEN,79.8,0
2023,1,DEN,80.3,0
2023,1,KC,77.5,0
2023,1,LV,92,0
2023,1,LAC,85.2,0
2023,1,DAL,85.1,0
2023,1,NYG,90.5,0
2023,1,PHI,81.2,0
2023,1,WAS,89.8,0
2023,1,CHI,92.2,0
2023,1,DET,88,0
2023,1,GB,87.3,0
2023,1,MIN,89.5,0
2023,1,ATL,90.9,0
2023,1,CAR,84.1,0
2023,1,NO,87.9,0
2023,1,TB,84.5,0
2023,1,ARI,76.4,0
2023,1,LA,84.2,0
2023,1,SF,88.5,0
2023,1,SEA,79.3,0
2023,2,BUF,91.8,0
2023,2,MIA,83.5,0
2023,2,NE,84.6,0
2023,2,NYJ,74.7,0
2023,2,BAL,76.2,0
2023,2,CIN,90,0
2023,2,CLE,81.9,0
2023,2,PIT,86.6,0
2023,2,HOU,77.5,0
2023,2,IND,83.1,0
2023,2,JAX,85.8,0
2023,2,TEN,82.6,0
2023,2,DEN,83.1,0
2023,2,KC,90.9,0
2023,2,LV,90.9,0
2023,2,LAC,77.5,0
2023,2,DAL,86.9,0
2023,2,NYG,88.3,0
2023,2,PHI,81.2,0
2023,2,WAS,91.1,0
2023,2,CHI,91.3,0
2023,2,DET,88.6,0
2023,2,GB,83.6,0
2023,2,MIN,89.5,0
2023,2,ATL,88.2,0
2023,2,CAR,81.7,0
2023,2,NO,88.5,0
2023,2,TB,84.7,0
2023,2,ARI,73.4,0
2023,2,LA,84.7,0
2023,2,SF,91.4,0
2023,2,SEA,76.4,0
2023,3,BUF,89.8,0
2023,3,MIA,85.5,0
2023,3,NE,86.2,0
2023,3,NYJ,73.6,0
2023,3,BAL,74.4,0
2023,3,CIN,90,1
2023,3,CLE,73.8,0
2023,3,PIT,88.8,0
2023,3,HOU,72.7,0
2023,3,IND,83.2,0
2023,3,JAX,87,0
2023,3,TEN,83.4,0
2023,3,DEN,85.2,0
2023,3,KC,89.6,0
2023,3,LV,91.8,0
2023,3,LAC,80.3,0
2023,3,DAL,86.6,0
2023,3,NYG,73.7,0
2023,3,PHI,81.2,0
2023,3,WAS,91.5,0
2023,3,CHI,87.9,0
2023,3,DET,80.4,0
2023,3,GB,82.2,0
2023,3,MIN,89.8,0
2023,3,ATL,89.2,0
2023,3,CAR,81.5,0
2023,3,NO,82.5,0
2023,3,TB,84.7,0
2023,3,ARI,79.2,0
2023,3,LA,84.2,1
2023,3,SF,92.2,0
2023,3,SEA,78.1,0
